"Gross Output by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: April 23, 2015"
"Line","","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"    60","    Real estate and rental and leasing",2599.4,2641.3,2635.0,2566.4,2633.7,2711.6,2875.0,3006.4,3141.6
"    61","      Real estate",2339.9,2373.3,2347.2,2317.4,2367.1,2427.1,2575.4,2696.7,"..."
"    62","        Housing",1438.4,1496.8,1553.4,1591.0,1605.5,1656.3,1714.0,1775.6,"..."
"    63","        Other real estate",901.5,876.5,793.8,726.4,761.7,770.8,861.3,921.1,"..."
"    64","      Rental and leasing services and lessors of intangible assets",259.5,267.9,287.8,249.0,266.6,284.5,299.7,309.7,"..."
"    65","  Professional and business services",2436.4,2639.2,2738.0,2596.3,2727.5,2885.9,3048.6,3135.6,3309.2
"    66","    Professional, scientific, and technical services",1429.9,1543.1,1616.4,1548.7,1609.2,1688.0,1770.7,1803.0,1887.9
"    67","      Legal services",279.1,288.5,287.7,276.4,280.1,289.7,297.9,300.4,"..."
"    68","      Computer systems design and related services",221.8,249.5,271.5,266.2,289.9,311.1,331.8,341.9,"..."
"    69","      Miscellaneous professional, scientific, and technical services",929.0,1005.1,1057.2,1006.2,1039.1,1087.2,1141.1,1160.7,"..."
"    70","    Management of companies and enterprises",384.5,431.7,439.3,415.3,447.1,484.0,531.1,559.2,601.2
"    71","    Administrative and waste management services",622.0,664.4,682.2,632.2,671.3,713.8,746.8,773.4,820.2
"    72","      Administrative and support services",549.2,588.6,602.5,558.5,588.6,628.5,660.9,683.6,"..."
"    73","      Waste management and remediation services",72.8,75.8,79.8,73.8,82.6,85.3,85.9,89.7,"..."
"    74","  Educational services, health care, and social assistance",1673.5,1774.7,1885.8,1975.2,2058.8,2148.6,2251.1,2352.3,2466.6
"    75","    Educational services",209.3,227.1,244.4,259.0,279.4,292.8,304.1,319.2,335.4
"    76","    Health care and social assistance",1464.2,1547.5,1641.4,1716.1,1779.4,1855.8,1947.0,2033.1,2131.3
"    77","      Ambulatory health care services",674.3,710.9,750.9,777.3,805.2,840.2,881.0,913.9,"..."
"    78","      Hospitals",503.1,531.1,566.3,602.8,623.7,654.1,695.7,742.1,"..."
"    79","      Nursing and residential care facilities",162.0,171.5,180.7,186.6,194.2,202.0,207.2,211.6,"..."
"    80","      Social assistance",124.8,134.1,143.4,149.3,156.3,159.5,163.0,165.5,"..."
"    81","  Arts, entertainment, recreation, accommodation, and food services",902.4,948.0,969.6,943.1,964.0,1015.2,1074.1,1123.0,1185.6
"    82","    Arts, entertainment, and recreation",219.8,239.0,246.7,243.1,245.2,255.4,268.9,280.1,295.0
"    83","      Performing arts, spectator sports, museums, and related activities",115.9,126.3,131.8,132.3,132.2,136.5,143.6,150.4,"..."
"    84","      Amusements, gambling, and recreation industries",103.9,112.7,114.8,110.8,113.0,118.9,125.3,129.7,"..."
"    85","    Accommodation and food services",682.6,709.0,723.0,700.0,718.8,759.8,805.2,842.9,890.6
"    86","      Accommodation",189.4,196.1,197.6,178.4,178.8,189.4,200.5,212.9,"..."
"    87","      Food services and drinking places",493.1,513.0,525.3,521.6,540.0,570.4,604.8,630.0,"..."
"    88","  Other services, except government",522.3,533.8,551.6,526.0,539.6,554.7,581.3,593.6,619.4
"    89","Government",2793.6,2946.7,3135.9,3231.3,3339.6,3371.8,3414.5,3429.7,3487.3
"    90","  Federal",896.6,934.6,1021.0,1074.2,1146.1,1151.3,1150.3,1100.5,1100.0
"    91","    General government",804.0,838.6,922.6,978.1,1050.2,1056.7,1052.3,1009.2,"..."
"    92","      National defense",521.6,548.0,605.9,636.5,676.8,688.3,678.6,643.3,"..."
"    93","      Nondefense",282.4,290.6,316.7,341.5,373.4,368.4,373.7,365.9,"..."
"    94","    Government enterprises",92.6,96.0,98.4,96.2,95.9,94.6,98.0,91.2,"..."
"    95","  State and local",1897.0,2012.1,2114.9,2157.1,2193.4,2220.6,2264.2,2329.2,2387.4
"    96","    General government",1685.0,1788.0,1879.7,1913.9,1942.3,1961.8,1997.6,2053.1,"..."
"    97","    Government enterprises",212.0,224.1,235.2,243.2,251.1,258.8,266.6,276.1,"..."
"    98","Addenda:","","","","","","","","",""
"    99","    Private goods-producing industries [1]",7141.2,7502.2,7696.8,6282.0,6836.9,7581.2,7907.3,8184.2,8510.5
"    100","    Private services-producing industries [2]",14953.2,15702.5,15993.0,15143.9,15917.1,16582.9,17382.0,18107.4,19003.5
"    101","    Information-communications-technology-producing industries [3]",1373.2,1444.1,1493.9,1422.4,1497.8,1573.8,1638.7,1718.1,"..."
"Legend / Footnotes:"
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
